metric,value
wk_peak_k,2.0
wk_peak_freq_cpd,0.010416666666666666
wk_peak_period_days,96.0
wk_band_mean_power_ratio,1.214924133177586
wk_segments_used,493.0
wk_time_samples,15330.0
wk_lat_pairs,30.0
wk_lon_count,360.0
wk_mjo_log2_min,0.06770518174750755
wk_mjo_log2_max,0.5628726007780223
wk_mjo_log2_mean,0.2750869486243516
eof1_var_frac_pct,12.67855106602891
eof2_var_frac_pct,11.864224846792865
eof12_var_frac_pct,24.542775912821774
pc1_pc2_corr0,3.2153562550532595e-16
pc1_pc2_maxabs_lag_days,-11.0
pc1_pc2_maxabs_lag_corr,0.8538032786809642
phase5_mi_peak_bits,0.2322174202493492
phase5_mi_peak_lag,25.0
phase5_weighted_vmax_m,0.12870899617614884
phase5_mi_bits_lag12,0.167397784685774
phase5_weight_corr_vs24_lag12,0.5599650635124005
phase5_mi_bits_lag16,0.1138472262128961
phase5_weight_corr_vs24_lag16,0.6354326876124594
phase5_mi_bits_lag20,0.1469769351901836
phase5_weight_corr_vs24_lag20,0.8234770894629687
phase5_mi_bits_lag24,0.2295580759675034
phase5_weight_corr_vs24_lag24,1.0
p5_mi_bits,0.2322174202493492
p6_mi_bits,0.2178934101535656
p5_ig_bits,0.0866380880105143
p6_ig_bits,0.1312078543606935
p5_mi_lag,25.0
p6_mi_lag,8.0
p5_ig_lag,13.0
p6_ig_lag,8.0
mi_global_peak_bits,0.2322174202493492
pdf_signal_phase,5.0
pdf_signal_lag,13.0
pdf_null_phase,1.0
pdf_null_lag,15.0
pdf_signal_auc,0.7006466784244562
pdf_null_auc,0.5238185255198488
pdf_signal_cohend,0.5872819247872397
pdf_null_cohend,0.019835881542875303
pdf_signal_n_on,21.0
pdf_signal_n_off,405.0
pdf_null_n_on,23.0
pdf_null_n_off,460.0
scorecard_top_spectral_phase,5.0
scorecard_top_throughput_phase,1.0
scorecard_top_coding_phase,6.0
scorecard_lowest_outage_phase,8.0
roc_auc_phase5,0.7006466784244562
roc_lag_phase5,13.0
roc_n_on_phase5,21.0
roc_n_off_phase5,405.0
roc_auc_phase6,0.48895833333333333
roc_lag_phase6,8.0
roc_n_on_phase6,25.0
roc_n_off_phase6,384.0
roc_auc_phase1,0.5238185255198488
roc_lag_phase1,15.0
roc_n_on_phase1,23.0
roc_n_off_phase1,460.0
