enso_state,phase,max_stat_obs,best_lag_obs,p_phase,q_phase,n_lags_used
ElNino,1,0.1639120340051594,9,1.0,1.0,31
ElNino,2,0.218866685502209,17,0.5034965034965035,1.0,31
ElNino,3,0.2858739630719942,0,0.1548451548451548,0.4768564768564768,31
ElNino,4,0.1722101587763997,29,1.0,1.0,31
ElNino,5,0.1935023123908581,21,1.0,1.0,31
ElNino,6,0.3172314990843814,19,0.1718281718281718,0.4768564768564768,31
ElNino,7,0.1885149474220662,17,0.6773226773226774,1.0,31
ElNino,8,0.3141940253777355,23,0.1788211788211788,0.4768564768564768,31
Neutral,1,0.1800534998769714,6,0.1278721278721278,0.396936396936397,31
Neutral,2,0.1469945767613882,26,0.6893106893106893,0.6893106893106893,31
Neutral,3,0.1471737819597445,27,0.2977022977022977,0.396936396936397,31
Neutral,4,0.2103382463816969,18,0.1568431568431568,0.396936396936397,31
Neutral,5,0.1993671148555096,25,0.2497502497502497,0.396936396936397,31
Neutral,6,0.2592772788117181,19,0.5294705294705294,0.6051091765377479,31
Neutral,7,0.1633582766577617,6,0.1758241758241758,0.396936396936397,31
Neutral,8,0.1385257270855699,25,0.2427572427572427,0.396936396936397,31
LaNina,1,0.3487267417436648,2,0.4935064935064935,1.0,31
LaNina,2,0.297497553885957,23,1.0,1.0,31
LaNina,3,0.2656749850289919,4,1.0,1.0,31
LaNina,4,0.3476299342507873,9,1.0,1.0,31
LaNina,5,0.2883706826340089,6,0.5144855144855145,1.0,31
LaNina,6,0.3666114693514521,8,0.5294705294705294,1.0,31
LaNina,7,0.1745497036665781,1,1.0,1.0,4
LaNina,8,0.3311358076734647,29,0.5064935064935064,1.0,31
