phase,metric,q_phase
1,IG p85 block,0.1239380309845077
2,IG p85 block,0.5077461269365318
3,IG p85 block,0.0869565217391304
4,IG p85 block,0.5077461269365318
5,IG p85 block,0.095952023988006
6,IG p85 block,0.0199900049975012
7,IG p85 block,0.0199900049975012
8,IG p85 block,0.0199900049975012
1,IG p85 circ,0.1659170414792603
2,IG p85 circ,0.4203612479474548
3,IG p85 circ,0.0509745127436281
4,IG p85 circ,0.4362818590704648
5,IG p85 circ,0.128735632183908
6,IG p85 circ,0.0239880059970015
7,IG p85 circ,0.0339830084957521
8,IG p85 circ,0.0509745127436281
1,MI cont block,0.064767616191904
2,MI cont block,0.2889983579638752
3,MI cont block,0.2165583874729302
4,MI cont block,0.5077461269365318
5,MI cont block,0.031984007996002
6,MI cont block,0.064767616191904
7,MI cont block,0.0619690154922538
8,MI cont block,0.064767616191904
1,MI cont circ,0.064967516241879
2,MI cont circ,0.2147497679731562
3,MI cont circ,0.1672497084790938
4,MI cont circ,0.5052473763118441
5,MI cont circ,0.0599700149925037
6,MI cont circ,0.0599700149925037
7,MI cont circ,0.0599700149925037
8,MI cont circ,0.0871564217891054
1,AUC block,0.4529163989433855
2,AUC block,0.7151424287856072
3,AUC block,0.4529163989433855
4,AUC block,0.4529163989433855
5,AUC block,0.4529163989433855
6,AUC block,0.4077961019490255
7,AUC block,0.4077961019490255
8,AUC block,0.4529163989433855
1,SNR block,0.2278860569715142
2,SNR block,0.5347326336831584
3,SNR block,0.2278860569715142
4,SNR block,0.2278860569715142
5,SNR block,0.2387377739701577
6,SNR block,0.2387377739701577
7,SNR block,0.2278860569715142
8,SNR block,0.2278860569715142
