lag,max_offdiag_corr,mean_offdiag_corr,condition_number
0,0.48119504273697256,0.02759746048266954,24.6984480779791
1,0.5274486598202816,0.012640303437954973,24.573924390613744
2,0.5785700355171316,0.006579507682910643,16.186840090237915
3,0.5655404167204452,0.007479372152279752,12.652462133431436
4,0.5076755986145839,0.0173799238208087,13.765986173117806
5,0.49587152384378497,0.026285475705862538,13.105594555702512
6,0.514082732022202,0.021435302202815254,12.93714399323339
7,0.5108864097812474,0.009713333366971907,12.786237727022344
8,0.6317077361961781,0.008538254907595216,16.881692565942295
9,0.6919145414393915,0.01029757900409238,21.041781830861368
10,0.6808298125871796,0.016189869369085046,19.336382254953545
11,0.6510872713775346,0.01320675947256927,18.995443173657716
12,0.5769572679367893,0.0007174936838894506,21.080221191389
13,0.5873693759340496,-0.009653096280292,22.211471587976195
14,0.6162081294462506,-0.008506742749608437,20.68788631437881
15,0.6669082504086071,-0.001900451220461579,22.308469177424502
16,0.7161692763425321,0.0048676112630833945,28.75188134517965
17,0.7393400543608011,0.0061755495324064885,33.88410609462598
18,0.7292631180813943,0.007075315857893132,28.0335145223751
19,0.6803420086100547,0.02397078347532259,16.001114264255044
20,0.7291795610301522,0.0517857083042829,15.555028893243088
21,0.6854632623432318,0.07445076938631964,26.010971925357985
22,0.5941339804160448,0.07480865161301639,33.68440353693912
23,0.6302632139397353,0.05859735175333076,29.301913716712967
24,0.7071266790871227,0.04067558598756964,28.67707164471004
25,0.7531239664363483,0.016386600532464355,26.15870559652377
26,0.7610612460129318,-0.008255042876155225,29.834407691291744
27,0.7213116657122906,-0.016209598664003715,45.20657356738152
28,0.6704572215149791,-0.011457534051369742,55.9402789920507
29,0.6989852466804838,-0.00859445215182211,64.49045008059373
30,0.7088449771676324,-0.004392763655531302,67.09155725295463
